orders
order_id;customer_id;order_date;total_price
1;220;28.01.2021 02:08:53;35420
2;445;31.05.2020 10:49:54;4155
3;346;04.02.2019 11:53:19;85874
4;486;30.11.2019 08:22:35;6818
5;42;17.04.2018 10:16:12;7327
6;61;14.01.2019 23:00:27;16526
7;57;16.01.2020 05:04:49;36036
8;42;23.09.2018 23:40:34;13579
9;411;29.11.2018 19:24:15;74616
10;548;12.01.2021 13:47:34;41790
11;395;08.10.2018 18:21:51;53116
12;226;01.04.2019 06:15:45;97236
13;294;30.11.2018 11:15:49;35509
14;542;20.05.2019 12:03:51;69276
15;43;09.06.2018 14:53:48;89979
16;28;28.02.2018 04:47:00;15905
17;367;10.06.2018 16:34:27;43975
18;242;14.09.2020 07:35:30;45240
19;340;21.07.2018 09:13:57;26655
20;498;27.10.2018 08:47:15;75999
21;243;12.04.2020 03:14:55;85890
22;118;29.03.2019 17:07:49;16910
23;110;05.06.2018 06:00:47;13752
24;125;13.07.2018 19:19:40;61577
25;10;07.06.2018 09:19:00;83724
26;183;22.08.2020 03:55:43;5495
27;437;11.05.2020 18:49:53;48846
28;468;21.09.2019 10:12:15;20656
29;273;31.07.2020 01:22:28;15248
30;314;04.10.2020 07:55:05;28654
31;7;01.02.2020 03:34:54;23367
32;366;23.07.2020 08:51:19;58465
33;357;21.03.2020 01:49:57;14863
34;471;01.07.2018 00:30:10;79941
35;99;07.04.2020 23:50:19;25375
36;80;25.08.2018 18:51:11;76411
37;20;03.06.2020 10:05:14;67274
38;435;04.09.2018 09:49:50;6645
39;30;26.07.2020 18:15:46;67474
40;381;31.08.2019 14:23:16;56990
41;182;27.05.2018 16:53:40;99733
42;9;22.03.2020 14:41:07;29005
43;305;24.02.2018 14:45:19;51665
44;341;20.07.2018 23:58:50;48054
45;10;05.08.2020 12:02:58;57463
46;485;18.12.2019 12:10:06;98323
47;514;01.01.2020 13:33:38;93061
48;166;12.07.2018 10:06:55;71498
49;85;27.11.2019 23:14:32;68295
50;320;26.04.2018 16:28:16;81424
51;469;27.07.2020 16:41:26;64964
52;415;11.12.2020 13:33:15;90868
53;160;09.04.2020 09:29:14;41884
54;505;02.07.2018 01:38:50;16914
55;303;30.03.2020 01:55:40;62020
56;544;19.12.2020 04:04:28;88325
57;523;08.04.2018 21:40:15;2231
58;484;03.12.2020 15:26:23;42884
59;296;25.04.2018 19:00:24;18100
60;165;14.08.2019 15:58:57;84964
61;14;13.07.2018 08:21:21;16183
62;56;11.12.2019 07:37:09;3921
63;32;06.02.2018 10:01:29;13460
64;490;05.08.2020 09:57:55;75649
65;56;20.06.2018 19:45:25;36574
66;488;04.07.2018 05:29:20;84957
67;413;08.03.2019 23:16:59;4644
68;206;06.05.2019 00:34:38;95937
69;68;21.10.2019 10:33:04;22118
70;144;06.05.2018 22:43:52;58205
71;516;28.02.2020 14:14:27;74331
72;454;27.12.2018 18:50:00;43653
73;203;25.05.2020 16:17:08;77165
74;349;25.11.2019 21:43:26;69584
75;552;10.09.2019 04:40:46;28817
76;305;30.03.2018 10:16:07;36611
77;289;15.03.2018 19:57:47;83704
78;460;18.01.2019 18:49:35;97518
79;431;31.07.2019 23:33:46;97297
80;189;27.06.2020 21:49:07;59840
81;274;15.09.2018 23:08:57;16541
82;424;28.07.2018 03:06:57;40511
83;467;09.03.2020 06:14:55;47522
84;19;12.10.2020 00:03:09;31609
85;52;03.11.2019 15:08:27;94734
86;134;31.03.2019 20:27:46;34447
87;212;15.07.2018 14:57:22;68788
88;106;26.04.2018 05:59:00;66568
89;441;18.04.2020 20:40:32;82844
90;538;26.06.2019 09:24:47;51264
91;325;21.01.2019 14:36:40;33574
92;510;18.03.2018 02:08:11;2510
93;505;18.04.2018 09:29:17;30905
94;236;08.02.2019 16:06:31;98291
95;175;21.11.2019 09:05:10;10565
96;179;08.01.2019 18:34:57;75826
97;151;16.11.2018 03:57:06;26407
98;490;22.05.2020 06:01:00;88597
99;224;10.03.2020 23:18:30;3329
100;286;14.07.2018 06:54:26;20113
